date,totalNetInflow,cum5,rank90,side
2026-04-07,-159049707.3,265173449.95999926,0.7111111111111111,none
2026-04-08,-124547252.17,22993398.714999273,0.6,none
2026-04-09,358170969.42,554889663.6849992,0.8222222222222222,long
2026-04-10,240417591.935,786314651.8699993,0.8555555555555555,long
2026-04-13,-291111095.95,23880505.934999287,0.6,none
2026-04-14,411498098.92,594428312.1549993,0.8222222222222222,long
2026-04-15,186026106.475,905001670.7999992,0.9111111111111111,long
2026-04-16,26051070.559999995,572881771.9399993,0.8,long
2026-04-17,663911366.465,996375546.4699993,0.9222222222222223,long
2026-04-20,238374250.59,1525860893.0099995,0.9888888888888889,long
2026-04-21,11844188.780000001,1126206982.8699994,0.9222222222222223,long
2026-04-22,335822985.005,1276003861.3999994,0.9333333333333333,long
2026-04-23,223207768.19000003,1473160559.0299995,0.9777777777777777,long
2026-04-24,14448891.92499998,823698084.4899994,0.8222222222222222,long
2026-04-27,-263183357.06,322140476.8399994,0.6555555555555556,none
2026-04-28,-89675364.92,220620923.1399994,0.6,none
2026-04-29,-137766214.8,-252968276.66500062,0.4,none
2026-04-30,14757772.094999999,-461418272.7600006,0.26666666666666666,none
2026-05-01,629734567.76,153867403.0749994,0.5777777777777777,none
2026-05-04,532214927.0,949265687.1349994,0.8666666666666667,long
2026-05-05,467350061.8,1506291113.8549993,0.9777777777777777,long
2026-05-06,46330552.9,1690387881.5549994,1.0,long
2026-05-07,-277497051.705,1398133057.7549996,0.9111111111111111,long
2026-05-08,-145651012.3,622747477.6949995,0.7,none
2026-05-11,27286410.25,117818960.9449994,0.5111111111111111,none
2026-05-12,-233251285.69500002,-582782386.5500007,0.2,short
2026-05-13,-635227765.4300001,-1264340704.8800006,0.06666666666666667,short
2026-05-14,131313430.96,-855530222.2150007,0.15555555555555556,short
2026-05-15,-290418644.205,-1000297854.1200007,0.12222222222222222,short
2026-05-18,-648640566.63,-1676224831.0000007,0.022222222222222223,short
2026-05-19,-331045135.875,-1774018681.1800008,0.011111111111111112,short
2026-05-20,-70465539.5,-1209256455.2500005,0.1111111111111111,short
2026-05-21,-100824840.04,-1441394726.2500005,0.07777777777777778,short
2026-05-22,-105185692.95,-1256161774.9950006,0.1111111111111111,short
2026-05-26,-333710226.8,-941231435.1650007,0.18888888888888888,short
2026-05-27,-733425619.93,-1343611919.2200005,0.08888888888888889,short
2026-05-28,-228880775.3,-1502027155.0200005,0.06666666666666667,short
2026-05-29,-125305627.1,-1526507942.0800006,0.05555555555555555,short
2026-06-01,-483760871.6000001,-1905083120.7300005,0.011111111111111112,short
2026-06-02,-519190448.94000006,-2090563342.8700008,0.011111111111111112,short
